manufacturer,model,price,equipmentType,distributionType,staging,nominalTons,nominalBtu,heatingCapacityBtu,coolingCapacityBtu,latentCoolingBtu,afue,seer,hspf,isActive,unitLocation,systemFunction,imageUrl
Mitsubishi,MSY-GL09NA-U1,612,ac,ductless,variable_speed,0.8,,,9000,2250,,24.6,,FALSE,split_system,cooling,
Mitsubishi,MSY-GL12NA-U1,692.4,ac,ductless,variable_speed,1,,,12000,3000,,24.6,,FALSE,split_system,cooling,
Mitsubishi,MSY-GL15NA-U1,945.6,ac,ductless,variable_speed,1.3,,,15000,3750,,24.6,,FALSE,split_system,cooling,
Mitsubishi,MSY-GL18NA-U1,1124.4,ac,ductless,variable_speed,1.5,,,18000,4500,,24.6,,FALSE,split_system,cooling,
Mitsubishi,MSY-GL24NA-U1,1254,ac,ductless,variable_speed,2,,,24000,6000,,24.6,,FALSE,split_system,cooling,
Mitsubishi,MSY-GL30NA-U1,1584,ac,ductless,variable_speed,2.5,,,30000,7500,,24.6,,FALSE,split_system,cooling,
Mitsubishi,MSY-GL36NA-U1,1944,ac,ductless,variable_speed,3,,,36000,9000,,24.6,,FALSE,split_system,cooling,
Mitsubishi,MSZ-GL09NA-U1,504,heat_pump,ductless,variable_speed,0.8,,7650,9000,2250,,24.3,10.9,FALSE,split_system,heating_cooling,
Mitsubishi,MSZ-GL12NA-U1,612,heat_pump,ductless,variable_speed,1,,10200,12000,3000,,24.3,10.9,FALSE,split_system,heating_cooling,
Mitsubishi,MSZ-GL15NA-U1,756,heat_pump,ductless,variable_speed,1.3,,12750,15000,3750,,24.3,10.9,FALSE,split_system,heating_cooling,
Mitsubishi,MSZ-GL18NA-U1,972,heat_pump,ductless,variable_speed,1.5,,15300,18000,4500,,24.3,10.9,FALSE,split_system,heating_cooling,
Mitsubishi,MSZ-GL24NA-U1,1080,heat_pump,ductless,variable_speed,2,,20400,24000,6000,,24.3,10.9,FALSE,split_system,heating_cooling,
Mitsubishi,MSZ-GL30NA-U1,1368,heat_pump,ductless,variable_speed,2.5,,25500,30000,7500,,24.3,10.9,FALSE,split_system,heating_cooling,
Mitsubishi,MSZ-GL36NA-U1,1728,heat_pump,ductless,variable_speed,3,,30600,36000,9000,,24.3,10.9,FALSE,split_system,heating_cooling,
Mitsubishi,MUY-GL09NA-U1,1404,ac,ducted,single_stage,,,,,0,,20.5,,FALSE,outdoor,cooling,
Mitsubishi,MUY-GL12NA-U1,1566,ac,ducted,single_stage,1,12000,3000,,20.5,,FALSE,outdoor,cooling,
Mitsubishi,MUY-GL15NA-U1,1836,ac,ducted,single_stage,1.3,15000,3750,,20.5,,FALSE,outdoor,cooling,
Mitsubishi,MUY-GL18NA-U1,2034,ac,ducted,single_stage,1.5,18000,4500,,20.5,,FALSE,outdoor,cooling,
Mitsubishi,MUY-GL24NA-U1,2214,ac,ducted,single_stage,2,24000,6000,,20.5,,FALSE,outdoor,cooling,
Mitsubishi,MUY-GL30NA-U1,2646,ac,ducted,single_stage,2.5,30000,7500,,20.5,,FALSE,outdoor,cooling,
Mitsubishi,MUY-GL36NA-U1,3150,ac,ducted,single_stage,3,36000,9000,,20.5,,FALSE,outdoor,cooling,
Mitsubishi,MUZ-GL09NA-U1,1188,heat_pump,ductless,single_stage,,,9000,9000,2250,,20.5,8.5,FALSE,outdoor,heating_cooling,
Mitsubishi,MUZ-GL12NA-U1,1350,heat_pump,ductless,single_stage,1,12000,12000,3000,,20.5,8.5,FALSE,outdoor,heating_cooling,
Mitsubishi,MUZ-GL15NA-U1,1620,heat_pump,ductless,single_stage,1.3,15000,15000,3750,,20.5,8.5,FALSE,outdoor,heating_cooling,
Mitsubishi,MUZ-GL18NA-U1,1818,heat_pump,ductless,single_stage,1.5,18000,18000,4500,,20.5,8.5,FALSE,outdoor,heating_cooling,
Mitsubishi,MUZ-GL24NA-U1,1998,heat_pump,ductless,single_stage,2,24000,24000,6000,,20.5,8.5,FALSE,outdoor,heating_cooling,
Mitsubishi,MUZ-GL30NA-U1,2430,heat_pump,ductless,single_stage,2.5,30000,30000,7500,,20.5,8.5,FALSE,outdoor,heating_cooling,
Mitsubishi,MUZ-GL36NA-U1,2934,heat_pump,ductless,single_stage,3,36000,36000,9000,,20.5,8.5,FALSE,outdoor,heating_cooling,
Mitsubishi,MXZ-3C30NAHZ,2160,heat_pump,ductless,single_stage,2.5,30000,30000,7500,,20.5,8.5,FALSE,outdoor,heating_cooling,
Mitsubishi,MXZ-4C36NAHZ,2430,heat_pump,ductless,single_stage,3,36000,36000,9000,,20.5,8.5,FALSE,outdoor,heating_cooling,
Mitsubishi,MXZ-5C42NAHZ,2700,heat_pump,ductless,single_stage,3.5,42000,42000,10500,,20.5,8.5,FALSE,outdoor,heating_cooling,
Bryant,313JAV030000,0,furnace,ducted,single_stage,,30000,28500,,,0.9,,,FALSE,indoor,heating,
Bryant,313JAV036000,0,furnace,ducted,single_stage,,36000,34200,,,0.9,,,FALSE,indoor,heating,
Bryant,313JAV042000,0,furnace,ducted,single_stage,,42000,39900,,,0.9,,,FALSE,indoor,heating,
Bryant,313JAV048000,0,furnace,ducted,single_stage,,48000,45600,,,0.9,,,FALSE,indoor,heating,
Bryant,313JAV060000,0,furnace,ducted,single_stage,,60000,57000,,,0.9,,,FALSE,indoor,heating,
Bryant,313JAV080000,0,furnace,ducted,single_stage,,80000,76000,,,0.9,,,FALSE,indoor,heating,
Bryant,313JAV100000,0,furnace,ducted,single_stage,,100000,95000,,,0.9,,,FALSE,indoor,heating,
Bryant,313JAV120000,0,furnace,ducted,single_stage,,120000,114000,,,0.9,,,FALSE,indoor,heating,
Bryant,355AAV024000,0,ac,ducted,single_stage,2,,,24000,6000,,16,,FALSE,outdoor,cooling,
Bryant,355AAV030000,0,ac,ducted,single_stage,2.5,,,30000,7500,,16,,FALSE,outdoor,cooling,
Bryant,355AAV036000,0,ac,ducted,single_stage,3,,,36000,9000,,16,,FALSE,outdoor,cooling,
Bryant,355AAV042000,0,ac,ducted,single_stage,3.5,,,42000,10500,,16,,FALSE,outdoor,cooling,
Bryant,355AAV048000,0,ac,ducted,single_stage,4,,,48000,12000,,16,,FALSE,outdoor,cooling,
Bryant,355AAV060000,0,ac,ducted,single_stage,5,,,60000,15000,,16,,FALSE,outdoor,cooling,
Bryant,315AAV024000,0,ac,ducted,single_stage,2,,,24000,6000,,14,,FALSE,outdoor,cooling,
Bryant,315AAV030000,0,ac,ducted,single_stage,2.5,,,30000,7500,,14,,FALSE,outdoor,cooling,
Bryant,315AAV036000,0,ac,ducted,single_stage,3,,,36000,9000,,14,,FALSE,outdoor,cooling,
Bryant,315AAV042000,0,ac,ducted,single_stage,3.5,,,42000,10500,,14,,FALSE,outdoor,cooling,
Bryant,315AAV048000,0,ac,ducted,single_stage,4,,,48000,12000,,14,,FALSE,outdoor,cooling,
Bryant,315AAV060000,0,ac,ducted,single_stage,5,,,60000,15000,,14,,FALSE,outdoor,cooling,
Bryant,313AAV024000,0,ac,ducted,single_stage,2,,,24000,6000,,13,,FALSE,outdoor,cooling,
Bryant,313AAV030000,0,ac,ducted,single_stage,2.5,,,30000,7500,,13,,FALSE,outdoor,cooling,
Bryant,313AAV036000,0,ac,ducted,single_stage,3,,,36000,9000,,13,,FALSE,outdoor,cooling,
Bryant,313AAV042000,0,ac,ducted,single_stage,3.5,,,42000,10500,,13,,FALSE,outdoor,cooling,
Bryant,313AAV048000,0,ac,ducted,single_stage,4,,,48000,12000,,13,,FALSE,outdoor,cooling,
Bryant,313AAV060000,0,ac,ducted,single_stage,5,,,60000,15000,,13,,FALSE,outdoor,cooling,
Bryant,226ANV024000,0,heat_pump,ducted,single_stage,2,,20400,24000,6000,,16,8.5,FALSE,outdoor,heating_cooling,
Bryant,226ANV030000,0,heat_pump,ducted,single_stage,2.5,,25500,30000,7500,,16,8.5,FALSE,outdoor,heating_cooling,
Bryant,226ANV036000,0,heat_pump,ducted,single_stage,3,,30600,36000,9000,,16,8.5,FALSE,outdoor,heating_cooling,
Bryant,226ANV042000,0,heat_pump,ducted,single_stage,3.5,,35700,42000,10500,,16,8.5,FALSE,outdoor,heating_cooling,
Bryant,226ANV048000,0,heat_pump,ducted,single_stage,4,,40800,48000,12000,,16,8.5,FALSE,outdoor,heating_cooling,
Bryant,226ANV060000,0,heat_pump,ducted,single_stage,5,,51000,60000,15000,,16,8.5,FALSE,outdoor,heating_cooling,
Bryant,280ANV024000,0,heat_pump,ducted,two_stage,2,,20400,24000,6000,,17,9,FALSE,outdoor,heating_cooling,
Bryant,280ANV030000,0,heat_pump,ducted,two_stage,2.5,,25500,30000,7500,,17,9,FALSE,outdoor,heating_cooling,
Bryant,280ANV036000,0,heat_pump,ducted,two_stage,3,,30600,36000,9000,,17,9,FALSE,outdoor,heating_cooling,
Bryant,280ANV042000,0,heat_pump,ducted,two_stage,3.5,,35700,42000,10500,,17,9,FALSE,outdoor,heating_cooling,
Bryant,280ANV048000,0,heat_pump,ducted,two_stage,4,,40800,48000,12000,,17,9,FALSE,outdoor,heating_cooling,
Bryant,280ANV060000,0,heat_pump,ducted,two_stage,5,,51000,60000,15000,,17,9,FALSE,outdoor,heating_cooling,
Bryant,315AAV024000,0,ac,ducted,single_stage,2,,,24000,6000,,14,,FALSE,outdoor,cooling,
Bryant,315AAV030000,0,ac,ducted,single_stage,2.5,,,30000,7500,,14,,FALSE,outdoor,cooling,
Bryant,315AAV036000,0,ac,ducted,single_stage,3,,,36000,9000,,14,,FALSE,outdoor,cooling,
Bryant,315AAV042000,0,ac,ducted,single_stage,3.5,,,42000,10500,,14,,FALSE,outdoor,cooling,
Bryant,315AAV048000,0,ac,ducted,single_stage,4,,,48000,12000,,14,,FALSE,outdoor,cooling,
Bryant,315AAV060000,0,ac,ducted,single_stage,5,,,60000,15000,,14,,FALSE,outdoor,cooling,
Bryant,313AAV024000,0,ac,ducted,single_stage,2,,,24000,6000,,13,,FALSE,outdoor,cooling,
Bryant,313AAV030000,0,ac,ducted,single_stage,2.5,,,30000,7500,,13,,FALSE,outdoor,cooling,
Bryant,313AAV036000,0,ac,ducted,single_stage,3,,,36000,9000,,13,,FALSE,outdoor,cooling,
Bryant,313AAV042000,0,ac,ducted,single_stage,3.5,,,42000,10500,,13,,FALSE,outdoor,cooling,
Bryant,313AAV048000,0,ac,ducted,single_stage,4,,,48000,12000,,13,,FALSE,outdoor,cooling,
Bryant,313AAV060000,0,ac,ducted,single_stage,5,,,60000,15000,,13,,FALSE,outdoor,cooling,
Bosch,Bova CS024,0,ac,ducted,variable_speed,2,,,24000,6000,,17,,FALSE,outdoor,cooling,"Images/Equipment/Bosch/8916dce9-b463-4664-81da-14e53c0e91a2.jpg"
Bosch,Bova CS030,0,ac,ducted,variable_speed,2.5,,,30000,7500,,17,,FALSE,outdoor,cooling,"Images/Equipment/Bosch/8916dce9-b463-4664-81da-14e53c0e91a2.jpg"
Bosch,Bova CS036,0,ac,ducted,variable_speed,3,,,36000,9000,,17,,FALSE,outdoor,cooling,"Images/Equipment/Bosch/8916dce9-b463-4664-81da-14e53c0e91a2.jpg"
Bosch,Bova CS042,0,ac,ducted,variable_speed,3.5,,,42000,10500,,17,,FALSE,outdoor,cooling,"Images/Equipment/Bosch/8916dce9-b463-4664-81da-14e53c0e91a2.jpg"
Bosch,Bova CS048,0,ac,ducted,variable_speed,4,,,48000,12000,,17,,FALSE,outdoor,cooling,"Images/Equipment/Bosch/8916dce9-b463-4664-81da-14e53c0e91a2.jpg"
Bosch,Bova CS060,0,ac,ducted,variable_speed,5,,,60000,15000,,17,,FALSE,outdoor,cooling,"Images/Equipment/Bosch/8916dce9-b463-4664-81da-14e53c0e91a2.jpg"
Bosch,IDS 2.0 Outdoor Unit,0,heat_pump,ducted,variable_speed,2.5,,,30000,30000,7500,,18,9.5,FALSE,outdoor,heating_cooling,
Bosch,IDS 2.0 Indoor Unit,0,heat_pump,ducted,variable_speed,2.5,,,30000,30000,7500,,18,9.5,FALSE,outdoor,heating_cooling,
Bosch,Compress 7000i AW,0,heat_pump,ducted,variable_speed,3,,,36000,36000,9000,,19,10,FALSE,outdoor,heating_cooling,
Bosch,Greenstar CDi Classic,0,boiler,hydronic,single_stage,,150000,142500,,,0.95,,,FALSE,indoor,heating,
Bosch,Greenstar CDi Compact,0,boiler,hydronic,single_stage,,80000,76000,,,0.94,,,FALSE,indoor,heating,
Bosch,Greenstar CDi Regular,0,boiler,hydronic,single_stage,,100000,95000,,,0.93,,,FALSE,indoor,heating,
Rheem,RGPJ-07EAUER,0,furnace,ducted,single_stage,,70000,66500,,,0.9,,,FALSE,indoor,heating,
Rheem,RGPJ-10EAUER,0,furnace,ducted,single_stage,,100000,95000,,,0.9,,,FALSE,indoor,heating,
Rheem,RGPJ-12EAUER,0,furnace,ducted,single_stage,,120000,114000,,,0.9,,,FALSE,indoor,heating,
Rheem,RA13AJL024A1,0,ac,ducted,single_stage,2,,,24000,6000,,13,,FALSE,outdoor,cooling,
Rheem,RA13AJL030A1,0,ac,ducted,single_stage,2.5,,,30000,7500,,13,,FALSE,outdoor,cooling,
Rheem,RA13AJL036A1,0,ac,ducted,single_stage,3,,,36000,9000,,13,,FALSE,outdoor,cooling,
Rheem,RA16AJL024A1,0,ac,ducted,single_stage,2,,,24000,6000,,16,,FALSE,outdoor,cooling,
Rheem,RA16AJL030A1,0,ac,ducted,single_stage,2.5,,,30000,7500,,16,,FALSE,outdoor,cooling,
Rheem,RA16AJL036A1,0,ac,ducted,single_stage,3,,,36000,9000,,16,,FALSE,outdoor,cooling,
Rheem,RA20AJL024A1,0,ac,ducted,variable_speed,2,,,24000,6000,,20,,FALSE,outdoor,cooling,
Rheem,RA20AJL030A1,0,ac,ducted,variable_speed,2.5,,,30000,7500,,20,,FALSE,outdoor,cooling,
Rheem,RA20AJL036A1,0,ac,ducted,variable_speed,3,,,36000,9000,,20,,FALSE,outdoor,cooling,
Rheem,RP13AJ024A1,0,heat_pump,ducted,single_stage,2,,,24000,24000,6000,,13,7.7,FALSE,outdoor,heating_cooling,
Rheem,RP13AJ030A1,0,heat_pump,ducted,single_stage,2.5,,,30000,30000,7500,,13,7.7,FALSE,outdoor,heating_cooling,
Rheem,RP13AJ036A1,0,heat_pump,ducted,single_stage,3,,,36000,36000,9000,,13,7.7,FALSE,outdoor,heating_cooling,
Rheem,RP16AJ024A1,0,heat_pump,ducted,single_stage,2,,,24000,24000,6000,,16,8.5,FALSE,outdoor,heating_cooling,
Rheem,RP16AJ030A1,0,heat_pump,ducted,single_stage,2.5,,,30000,30000,7500,,16,8.5,FALSE,outdoor,heating_cooling,
Rheem,RP16AJ036A1,0,heat_pump,ducted,single_stage,3,,,36000,36000,9000,,16,8.5,FALSE,outdoor,heating_cooling,
Trane,XR13 4TTR3024A1,3200,ac,ducted,single_stage,2,,,24000,6000,,13,,TRUE,outdoor,cooling,
Trane,XR13 4TTR3030A1,3400,ac,ducted,single_stage,2.5,,,30000,7500,,13,,TRUE,outdoor,cooling,
Trane,XR13 4TTR3036A1,3600,ac,ducted,single_stage,3,,,36000,9000,,13,,TRUE,outdoor,cooling,
